序号,股票代码,股票名称,公司全称,上市日期,招股书,公司财报,行业分类,主营业务
60,000150,*ST宜康,宜华健康医疗股份有限公司,2000-08-07,--,,医疗服务,医疗机构运营及服务和养老社区运营及服务。
61,000151,中成股份,中成进出口股份有限公司,2000-09-06,--,,贸易,成套设备与技术进出口、环境科技和复合材料生产。
62,000153,丰原药业,安徽丰原药业股份有限公司,2000-09-20,--,,化学制剂,生物药、化学药及中药的研发、生产和销售；医药配送和药房零售。
63,000155,川能动力,四川省新能源动力股份有限公司,2000-09-26,--,,氮肥,新能源发电和锂电业务。
64,000156,华数传媒,华数传媒控股股份有限公司,2000-09-06,--,,有线电视,有线电视网络业务、全国范围内的新媒体业务、宽带网络及智慧城市数字化业务、广电5G业务等。
65,000157,中联重科,中联重科股份有限公司,2000-10-12,--,,工程机械,工程机械和农业机械的研发、制造、销售和服务。
66,000158,常山北明,石家庄常山北明科技股份有限公司,2000-07-24,--,,棉纺,软件及信息技术服务和纺织两大板块。
67,000159,国际实业,新疆国际实业股份有限公司,2000-09-26,--,,石油天然气贸易,油品及化工产品批发业务、金属制品制造业。
68,000166,申万宏源,申万宏源集团股份有限公司,2015-01-26,--,,证券,企业金融、个人金融、机构服务及交易、投资管理。
69,000301,东方盛虹,江苏东方盛虹股份有限公司,2000-05-29,--,,火电,石化及化工新材料、民用涤纶长丝的研发、生产和销售等。
70,000333,美的集团,美的集团股份有限公司,2013-09-18,--,,空调、小家电,家用空调、中央空调、供暖及通风系统、厨房家电、冰箱、洗衣机、各类小家电、电梯、高低压变频器、医学影像产品、机器人及自动化系统业务；其他业务包括智能供应链、家电原材料销售、批发及加工业务，以及吸收存款、同业拆借、消费信贷、买方信贷及融资租赁等金融业务。
71,000338,潍柴动力,潍柴动力股份有限公司,2007-04-30,--,,汽车零部件,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
72,000400,许继电气,许继电气股份有限公司,1997-04-18,--,,电气自控设备,特高压、智能电网、新能源、电动汽车充换电、轨道交通及工业智能化五大核心业务。
73,000401,冀东水泥,唐山冀东水泥股份有限公司,1996-06-14,--,,水泥,生产和销售水泥熟料、各类硅酸盐水泥和与水泥相关的建材产品，同时涵盖砂石骨料、环保、矿粉、外加剂等产业(业务)。
74,000402,金融街,金融街控股股份有限公司,1996-06-26,--,,房地产开发,房地产开发和经营。
75,000403,派林生物,派斯双林生物制药股份有限公司,1996-06-28,--,,生物医药,血液制品的研究、开发、生产和销售。
76,000404,长虹华意,长虹华意压缩机股份有限公司,1996-06-19,--,,压缩机,冰箱压缩机、商用压缩机的研发、生产和销售以及能源汽车空调压缩机、清洁机器人等新兴产业。
77,000407,胜利股份,山东胜利股份有限公司,1996-07-03,--,,燃气,清洁能源天然气业务推广和应用，为工业、商业、居民等领域提供天然气应用服务，在交通运输领域为使用天然气的车辆提供天然气供应，并在天然气创新领域提供解决方案。
78,000408,藏格矿业,藏格矿业股份有限公司,1996-06-28,--,,钾肥,矿产资源（非煤矿山）开采、投资与投资管理、贸易、钾肥、碳酸锂、化肥生产销售。
79,000409,云鼎科技,云鼎科技股份有限公司,1996-06-27,--,,综合,信息化技术服务业务和煤气化技术推广业务。
80,000410,沈阳机床,沈阳机床股份有限公司,1996-07-18,--,,机床设备,金属切削机床制造。
81,000411,英特集团,浙江英特集团股份有限公司,1996-07-16,--,,医药商业,药品、中药、生物制品、医疗器械批发及零售业务。
82,000413,ST旭电,东旭光电科技股份有限公司,1996-09-25,--,,显示器件,光电显示制造、新能源汽车制造以及建筑安装工程。
83,000415,渤海租赁,渤海租赁股份有限公司,1996-07-16,--,,其他非银行金融,为境内外客户提供全方位的飞机租赁、集装箱租赁、基础设施租赁、大型设备租赁等租赁服务。
84,000416,*ST民控,民生控股股份有限公司,1996-07-19,--,,其他非银行金融,典当业务及保险经纪业务。
85,000417,合百集团,合肥百货大楼集团股份有限公司,1996-08-12,--,,百货,零售业、农产品交易市场两大类业务。
86,000419,通程控股,长沙通程控股股份有限公司,1996-08-16,--,,百货,商业零售、金融信用服务、酒店经营、现代物流与物业管理与经营等。
87,000420,吉林化纤,吉林化纤股份有限公司,1996-08-02,--,,粘胶纤维,粘胶长丝和碳纤维产品的生产、销售，以及粘胶短纤受托加工业务。
88,000421,南京公用,南京公用发展股份有限公司,1996-08-06,--,,燃气,燃气销售、房地产开发及客运产业。
89,000422,湖北宜化,湖北宜化化工股份有限公司,1996-08-15,--,,氮肥,尿素、磷酸二铵等化肥产品和聚氯乙烯等氯碱产品的开发、生产和经营以及新能源行业。
90,000423,东阿阿胶,东阿阿胶股份有限公司,1996-07-29,--,,中药生产,阿胶和阿胶系列及其他中成药等产品的研发、生产和销售。
91,000425,徐工机械,徐工集团工程机械股份有限公司,1996-08-28,--,,工程机械,土方机械、起重机械、桩工机械、混凝土机械、路面机械、高空作业机械、矿业机械、环卫机械、农业机械、应急救援装备和其他工程机械及备件的研发、制造、销售和服务工作。
92,000426,兴业银锡,内蒙古兴业银锡矿业股份有限公司,1996-08-28,--,,铅锌,有色金属及贵金属采选与冶炼。
93,000428,华天酒店,华天酒店集团股份有限公司,1996-08-08,--,,酒店,酒店服务业。
94,000429,粤高速A,广东省高速公路发展股份有限公司,1998-02-20,--,,高速公路,收费高速公路、桥梁的投资、建设、收费和养护管理。
95,000430,张家界,张家界旅游集团股份有限公司,1996-08-29,--,,景区,旅游景区经营、旅游客运、旅行社经营、旅游客运索道经营、酒店经营及房屋租赁业务。
96,000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,2000-11-20,--,,造纸,机制纸及板纸和造纸原料、造纸机械、电力、热力的生产与销售。
97,000498,山东路桥,山东高速路桥集团股份有限公司,1997-06-09,--,,路桥建设,路桥工程施工与公路养护工程施工。
98,000501,武商集团,武商集团股份有限公司,1992-11-20,--,,百货,购物中心及超市业态的商品销售。
99,000502,绿景退,绿景控股股份有限公司,1992-11-23,--,,房地产开发,互联网数据中心服务业务。
100,000503,国新健康,国新健康保障服务集团股份有限公司,1992-11-30,--,,电子商务B2B,数字医保、数字医疗、数字医药和健康服务四大板块。
101,000504,南华生物,南华生物医药股份有限公司,1992-12-08,--,,节能环保,生物医药、节能环保。
102,000505,京粮控股,海南京粮控股股份有限公司,1992-12-21,--,,房地产开发,油脂油料加工销售及贸易和食品制造。
103,000506,*ST中润,中润资源投资股份有限公司,1993-03-12,--,,黄金,以黄金为主要品种的矿业开采。
104,000507,珠海港,珠海港股份有限公司,1993-03-26,--,,港口,港口的投资、运营以及船舶运输等业务;电力能源、新能源产业以及管道燃气;港城建设、物业管理及生产制造。
105,000509,华塑控股,华塑控股股份有限公司,1993-05-07,--,,其他建材,电子信息显示终端的研发、设计、生产和销售服务，租赁、舞台灯光设计。
106,000510,新金路,四川新金路集团股份有限公司,1993-05-07,--,,氯碱,从事PVC树脂和烧碱的生产与销售。
107,000513,丽珠集团,丽珠医药集团股份有限公司,1993-10-28,--,,化学制剂,医药产品的研发、生产及销售。
108,000514,渝开发,重庆渝开发股份有限公司,1993-07-12,--,,房地产开发,房地产开发与销售业务。
109,000516,国际医学,西安国际医学投资股份有限公司,1993-08-09,--,,百货,大健康医疗服务和现代医学技术转化应用。
110,000517,荣安地产,荣安地产股份有限公司,1993-08-06,--,,房地产开发,房地产开发与销售。
111,000518,四环生物,江苏四环生物股份有限公司,1993-09-08,--,,生物医药,生物医药制品、生产和销售以及绿化园林工程业务。
112,000519,中兵红箭,中兵红箭股份有限公司,1993-10-08,--,,超硬材料,特种装备、超硬材料、专用车及汽车零部件三大业务板块。
113,000520,凤凰航运,凤凰航运(武汉)股份有限公司,1993-10-25,--,,航运,干散货航运及港航物流服务业。
114,000521,长虹美菱,长虹美菱股份有限公司,1993-10-18,--,,冰箱、空调,冰箱、冰柜、空调、洗衣机白色家电产品研发、生产与销售及生物医疗。
115,000523,红棉股份,广州市红棉智汇科创股份有限公司,1993-11-08,--,,洗涤产品,食品饮料及文化创意产业园区开发和运营业务。
116,000524,岭南控股,广州岭南集团控股股份有限公司,1993-11-18,--,,餐饮,为集商旅出行、住宿、会展、景区、汽车服务等业务为一体。
117,000525,*ST红阳,南京红太阳股份有限公司,1993-10-28,--,,农药,原药和制剂产品的生产销售、化肥生态肥的销售。
118,000526,学大教育,学大(厦门)教育科技集团股份有限公司,1993-11-01,--,,教育培训,教育培训服务。
119,000528,柳工,广西柳工机械股份有限公司,1993-11-18,--,,工程机械,工程机械及关键零部件的研发、生产、销售和服务。
120,000529,广弘控股,广东广弘控股股份有限公司,1993-11-18,--,,肉制品,食品板块冷冻食品储藏供应业务和农牧板块畜禽养殖业务。
